	i	j	d	f	o	n
494	1	5	4	6	0.11985395	0.53573111
495	1	5	4	7	NA	NA
496	1	5	4	8	0	1
497	1	5	4	9	0.045175395	0.815998698
498	1	5	4	10	0.09035079	0.641138893
499	1	5	4	11	0.112938488	0.55968394
500	1	5	4	12	0.180701581	0.348215046
501	1	5	4	13	0.068235315	0.725059319
502	1	5	4	14	0.045175395	0.815998698
503	1	5	4	15	0.067763093	0.726889898
504	1	5	4	16	0.09035079	0.641138893
505	1	5	4	17	0.112938488	0.55968394
506	1	5	4	18	-0.158113883	0.412679526
507	1	5	4	19	-0.135526185	0.483320425
508	1	5	4	20	-0.180701581	0.348215046
509	1	5	4	21	-0.135526185	0.483320425
510	1	5	4	22	-0.112938488	0.55968394
511	1	5	4	23	-0.067763093	0.726889898
512	1	5	4	24	-0.158113883	0.412679526
513	1	5	4	25	-0.135526185	0.483320425
514	1	5	4	26	-0.180701581	0.348215046
515	1	5	4	27	0.067771439	0.726857528
516	1	5	4	28	-0.105288304	0.586738089
517	1	5	4	29	-0.04518096	0.815976417
518	1	5	4	30	0.24858716	0.193490721
519	1	5	4	31	NA	NA
520	1	5	4	32	0.112994164	0.55948916
521	1	5	4	33	0.090361919	0.64109763
522	1	5	4	34	-0.035714286	0.854071709
523	1	5	4	35	-0.02259048	0.907401438
524	1	5	4	36	0.180723839	0.348154673
525	1	5	4	37	-0.112952399	0.559635269
526	1	5	4	38	-0.158113883	0.412679526
527	1	5	5	6	0.495572965	0.006263344
528	1	5	5	7	NA	NA
529	1	5	5	8	0.70060157	2.32E-05
530	1	5	5	9	0.129620518	0.50275611
531	1	5	5	10	0.150320373	0.436374287
532	1	5	5	11	-0.022671269	0.907071695
533	1	5	5	12	0.016757025	0.931247165
534	1	5	5	13	0.027792142	0.886203895
535	1	5	5	14	-0.867915335	1.08E-09
536	1	5	5	15	0.11779203	0.542821641
537	1	5	5	16	0.150813227	0.434854325
538	1	5	5	17	-0.022671269	0.907071695
539	1	5	5	18	-0.042385417	0.827187506
540	1	5	5	19	-0.100542151	0.603804051
541	1	5	5	20	0.259733891	0.173617621
542	1	5	5	21	-0.494332243	0.006415321
543	1	5	5	22	-0.48989656	0.006984484
544	1	5	5	23	-0.963036095	6.56E-17
545	1	5	5	24	-0.036471172	0.851012876
546	1	5	5	25	-0.100542151	0.603804051
547	1	5	5	26	0.259733891	0.173617621
548	1	5	5	27	0.517313652	0.004055402
549	1	5	5	28	0.1870695	0.331199129
550	1	5	5	29	0.814541029	7.56E-08
551	1	5	5	30	0.422583826	0.022385858
552	1	5	5	31	NA	NA
553	1	5	5	32	0.758382643	1.88E-06
554	1	5	5	33	0.139248315	0.471271663
555	1	5	5	34	0.180790662	0.347973458
556	1	5	5	35	0.754898388	2.22E-06
557	1	5	5	36	0.632902077	0.000229202
558	1	5	5	37	0.024892177	0.898013145
559	1	5	5	38	-0.379004482	0.042603271
560	1	5	6	9	0.49820404	0.005951144
561	1	5	6	10	0.479122773	0.008547379
562	1	5	6	11	0.412730419	0.026073663
563	1	5	6	12	-0.174083888	0.366442529
564	1	5	6	13	-0.257681371	0.177164286
565	1	5	6	14	-0.593871762	0.000682874
566	1	5	6	15	0.499249589	0.005830804
567	1	5	6	16	0.491930747	0.006718377
568	1	5	6	17	0.412730419	0.026073663
569	1	5	6	18	0.031105079	0.87274219
570	1	5	6	19	-0.076325068	0.693936809
571	1	5	6	20	0.193949317	0.313396528
572	1	5	6	21	-0.734759474	5.66E-06
573	1	5	6	22	-0.738418895	4.81E-06
574	1	5	6	23	-0.565119168	0.001402065
575	1	5	6	24	0.02535456	0.896128731
576	1	5	6	25	-0.076325068	0.693936809
577	1	5	6	26	0.193949317	0.313396528
578	1	5	7	9	NA	NA
579	1	5	7	10	NA	NA
580	1	5	7	11	NA	NA
581	1	5	7	12	NA	NA
582	1	5	7	13	NA	NA
583	1	5	7	14	NA	NA
584	1	5	7	15	NA	NA
585	1	5	7	16	NA	NA
586	1	5	7	17	NA	NA
587	1	5	7	18	NA	NA
588	1	5	7	19	NA	NA
589	1	5	7	20	NA	NA
590	1	5	7	21	NA	NA
591	1	5	7	22	NA	NA
592	1	5	7	23	NA	NA
593	1	5	7	24	NA	NA
594	1	5	7	25	NA	NA
595	1	5	7	26	NA	NA
596	1	5	8	9	0.407764062	0.028111897
597	1	5	8	10	0.391296667	0.035814458
598	1	5	8	11	0.335359802	0.075332274
599	1	5	8	12	-0.296935881	0.11776385
600	1	5	8	13	-0.358753533	0.055987111
601	1	5	8	14	-0.801413214	1.75E-07
602	1	5	8	15	0.396785799	0.033078301
603	1	5	8	16	0.400967994	0.031108946
604	1	5	8	17	0.335359802	0.075332274
605	1	5	8	18	0.052538831	0.786643498
606	1	5	8	19	-0.039208083	0.839970047
607	1	5	8	20	0.2556367	0.180747686
608	1	5	8	21	-0.765603165	1.30E-06
609	1	5	8	22	-0.758807098	1.84E-06
610	1	5	8	23	-0.767432876	1.19E-06
611	1	5	8	24	0.049402184	0.799115638
612	1	5	8	25	-0.039208083	0.839970047
613	1	5	8	26	0.2556367	0.180747686
614	1	6	3	6	0.08084447	0.6654984
615	1	6	3	7	NA	NA
616	1	6	3	8	0.028359055	0.87963013
617	1	6	3	9	-0.086325138	0.644260466
618	1	6	3	10	-0.085114973	0.648927063
619	1	6	3	11	-0.234772105	0.203623224
620	1	6	3	12	0.484066195	0.005793677
621	1	6	3	13	0.480736909	0.006190628
622	1	6	3	14	-0.037111742	0.842883743
623	1	6	3	15	-0.0911658	0.625727999
624	1	6	3	16	-0.083904807	0.653606751
625	1	6	3	17	-0.234772105	0.203623224
626	1	6	3	18	-0.141185974	0.448694408
627	1	6	3	19	-0.135538535	0.467225864
628	1	6	3	20	-0.002420331	0.989689987
629	1	6	3	21	0.083501419	0.655169529
630	1	6	3	22	0.083904807	0.653606751
631	1	6	3	23	-0.221863673	0.230317361
632	1	6	3	24	-0.12868093	0.490257534
633	1	6	3	25	-0.135538535	0.467225864
634	1	6	3	26	-0.002420331	0.989689987
635	1	6	3	27	0.240645498	0.19221349
636	1	6	3	28	0.195042503	0.29304521
637	1	6	3	29	0.216439748	0.242206301
638	1	6	3	30	0.115415658	0.536396426
639	1	6	3	31	NA	NA
640	1	6	3	32	0.153753027	0.408912665
641	1	6	3	33	-0.049218358	0.792601335
642	1	6	3	34	0.224627153	0.224413736
643	1	6	3	35	0.090368133	0.628766884
644	1	6	3	36	0.218456894	0.237738006
645	1	6	3	37	-0.106707014	0.567769228
646	1	6	3	38	-0.277934674	0.130053768
647	1	6	4	6	0.085673757	0.646770663
648	1	6	4	7	NA	NA
649	1	6	4	8	-0.021418439	0.90894836
650	1	6	4	9	0.040824829	0.827387918
651	1	6	4	10	0.081649658	0.662361773
