	a.i.	length.patient.	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio
11	BCC.KathrynEYost2019.sce.rds	11	0.277213892	0.420458695	21.62268354	-0.365123302	-0.385873544	-28.47961757	0.008293697	0.007672948	0.646908399	-0.008027563	-0.009333457	-0.626149905	0.704964281	0.65220057	54.98721394	-0.001546665	0.000542411	-0.120639889	-0.073072447	-0.070513888	-5.699650873	-0.15930652	0.055868341	-12.42590853	-0.052173973	-0.614671921	-11.53044797	0.071566117	-0.386726976	15.81611185	0.045914311	-0.385873544	10.14706279	0.265306122	0.429126214	2.833333333	0.672231919	0.767043983	52.4340897	0.015089914	0	1.177013315	0.008293697	0.007672948	0.646908399	-0.008027563	-0.009333457	-0.626149905	0.704964281	0.65220057	54.98721394	-0.001546665	0.000542411	-0.120639889	-0.073072447	-0.070513888	-5.699650873	-0.15930652	0.055868341	-12.42590853	0.650514763	0	143.7637627	0.28993634	0	64.07593111	0.314003177	0	69.39470217	0.265306122	0.429126214	2.833333333
12	BCC.KathrynEYost2019.sce.rds	11	-0.037105888	-0.738413508	-15.39894346	-0.379184425	-0.385873544	-157.3615365	-0.019297807	-0.025838366	-8.008589952	-0.011422688	-0.009496427	-4.740415504	-1.640313605	-2.196261103	-680.7301459	0.010420116	0.008870758	4.324347983	-0.067112082	-0.06798935	-27.85151399	1.073271909	0.913688054	445.4078422	0.389500146	-0.614671921	214.6145806	-0.240559611	-0.386726976	-132.5483458	-0.187029895	-0.385873544	-103.0534721	0.257763975	0.254974549	1.327710843	0.464187327	0	192.6377405	0.004864436	0	2.018740908	-0.019297807	-0.025838366	-8.008589952	-0.011422688	-0.009496427	-4.740415504	-1.640313605	-2.196261103	-680.7301459	0.010420116	0.008870758	4.324347983	-0.067112082	-0.06798935	-27.85151399	1.073271909	0.913688054	445.4078422	1.1612998	0	639.8761898	0.092471895	0	50.95201401	0.144602348	0	79.67589352	0.257763975	0.254974549	1.327710843
13	BCC.KathrynEYost2019.sce.rds	11	-0.115773209	-0.738413508	-50.24557257	-0.382132387	-0.385873544	-165.8454561	0.000455041	-0.001680417	0.197487821	-0.008972595	-0.008345169	-3.894106099	0.03867849	-0.142835407	16.7864648	0.014138593	0.014139582	6.13614939	-0.065483041	-0.06638212	-28.41963961	1.456275086	1.456376931	632.0233872	-0.061820853	-0.614671921	-48.7148324	-0.018926631	-0.386726976	-14.914185	0.317319361	-0.385873544	250.0476568	0.238461538	0.302147239	1.815668203	0.412118345	0	178.8593619	0.00272063	0	1.180753378	0.000455041	-0.001680417	0.197487821	-0.008972595	-0.008345169	-3.894106099	0.03867849	-0.142835407	16.7864648	0.014138593	0.014139582	6.13614939	-0.065483041	-0.06638212	-28.41963961	1.456275086	1.456376931	632.0233872	0.639358388	0	503.8144097	0.232686653	0	183.3570826	0.511373361	0	402.9622082	0.238461538	0.302147239	1.815668203
14	BCC.KathrynEYost2019.sce.rds	11	0.039025153	-0.738413508	3.59031412	-0.385873544	-0.385873544	-35.500366	-0.000646534	-0.003068245	-0.059481134	-0.010778765	-0.010555929	-0.991646389	-0.054955396	-0.260800798	-5.055896409	-0.011412709	-0.010343295	-1.049969211	-0.060111832	-0.060950023	-5.530288563	-1.175509008	-1.065359405	-108.1468287	0.369807692	0.335813598	122.7761538	-0.191361012	-0.386726976	-63.53185601	0.14741501	-0.385873544	48.94178325	0.236503856	0.460471567	3.608695652	0.514577574	0	47.34113682	0	0	0	-0.000646534	-0.003068245	-0.059481134	-0.010778765	-0.010555929	-0.991646389	-0.054955396	-0.260800798	-5.055896409	-0.011412709	-0.010343295	-1.049969211	-0.060111832	-0.060950023	-5.530288563	-1.175509008	-1.065359405	-108.1468287	1.138525971	1.099212653	377.9906223	0.12359709	0	41.03423372	0.387816142	0	128.7549592	0.236503856	0.460471567	3.608695652
15	BCC.KathrynEYost2019.sce.rds	11	0.085950658	-0.738413508	22.00336858	-0.226314439	-0.385873544	-57.93649628	0.054708121	0.057610739	14.00527893	-0.005825658	0	-1.49136835	4.650190271	4.896912807	1190.448709	0.015443208	0.011464183	3.953461149	-0.065302573	-0.065074658	-16.71745856	1.590650384	1.180810807	407.2064983	0.50872059	0.508311019	1192.441063	1.071779607	-0.386726976	2512.251398	1.222123079	1.134811155	2864.656497	0.263103803	0.706662647	9.15625	0.545637018	0	139.6830766	0.116033986	0	29.70470042	0.054708121	0.057610739	14.00527893	-0.005825658	0	-1.49136835	4.650190271	4.896912807	1190.448709	0.015443208	0.011464183	3.953461149	-0.065302573	-0.065074658	-16.71745856	1.590650384	1.180810807	407.2064983	1.299175252	1.298701593	3045.26679	0.922715326	0	2162.844724	1.169361395	1.105866739	2740.983111	0.263103803	0.706662647	9.15625
16	BCC.KathrynEYost2019.sce.rds	11	-0.102562188	-0.738413508	-86.25480043	-0.369215774	-0.385873544	-310.5104663	0.01398159	0.010723541	11.75851684	-0.008275809	-0.007674819	-6.959955183	1.188435115	0.911501004	999.4739313	0.025524603	0.023615784	21.46619123	-0.067037461	-0.06710282	-56.37850469	2.629034122	2.432425777	2211.017697	0.555673505	0.331735092	2098.778828	-0.235537617	-0.386726976	-889.6255778	-0.150079676	-0.385873544	-566.8509379	0.330841857	0.597721158	4.491082045	0.420862565	0	353.9454175	0.012113802	0	10.1877072	0.01398159	0.010723541	11.75851684	-0.008275809	-0.007674819	-6.959955183	1.188435115	0.911501004	999.4739313	0.025524603	0.023615784	21.46619123	-0.067037461	-0.06710282	-56.37850469	2.629034122	2.432425777	2211.017697	1.35347512	1.094495964	5112.075527	0.095649029	0	361.2663831	0.17147315	0	647.6540862	0.330841857	0.597721158	4.491082045
17	BCC.KathrynEYost2019.sce.rds	11	-0.249714945	-0.738413508	-6.24287362	-0.385873544	-0.385873544	-9.646838588	0.038024615	0.028343904	0.950615381	-0.004013975	0	-0.10034937	3.232092297	2.409231859	80.80230742	0.043033077	0.049311175	1.075826934	-0.064695707	-0.06514128	-1.617392679	4.432406968	5.079051031	110.8101742	1.420356116	1.624215538	400.5404247	-0.112058849	-0.386726976	-31.60059551	0.150581611	-0.385873544	42.46401428	0.20661157	0.699751861	11.28	0.323463874	0	8.086596844	0	0	0	0.038024615	0.028343904	0.950615381	-0.004013975	0	-0.10034937	3.232092297	2.409231859	80.80230742	0.043033077	0.049311175	1.075826934	-0.064695707	-0.06514128	-1.617392679	4.432406968	5.079051031	110.8101742	2.353458864	2.589217171	663.6753995	0.173767121	0	49.00232808	0.390118946	0	110.0135429	0.20661157	0.699751861	11.28
18	BCC.KathrynEYost2019.sce.rds	11	-0.287797301	-0.738413508	-91.51954171	-0.380074293	-0.385873544	-120.8636252	-0.009045753	-0.009535273	-2.876549508	-0.013656846	-0.012279704	-4.342876943	-0.768889019	-0.8104982	-244.5067082	0.020176524	0.017658759	6.416134477	-0.070744318	-0.069881852	-22.49669297	2.078181922	1.818852228	660.8618511	0.483882076	0.40985105	228.876222	-0.249375515	-0.386726976	-117.9546187	-0.176773226	-0.385873544	-83.61373592	0.248631744	0.269977169	1.487421384	0.298257607	0	94.84591896	0.00421731	0	1.341104428	-0.009045753	-0.009535273	-2.876549508	-0.013656846	-0.012279704	-4.342876943	-0.768889019	-0.8104982	-244.5067082	0.020176524	0.017658759	6.416134477	-0.070744318	-0.069881852	-22.49669297	2.078181922	1.818852228	660.8618511	1.270450134	1.184835109	600.9229132	0.086894567	0	41.10113	0.152061165	0	71.92493085	0.248631744	0.269977169	1.487421384
19	BCL.thisStudy.sce.rds	2	0.065042169	-0.638193484	8.910777097	-0.252410754	-0.252410754	-34.58027336	-0.006772165	-0.008998934	-0.927786584	-0.004899189	0	-0.671188943	-0.589178342	-0.78290729	-80.71743279	0.023279867	0.02459474	3.189341797	-0.05867144	-0.057915999	-8.037987237	2.421106182	2.557852993	331.6915469	0.911815828	0.565165849	1182.625129	-0.010313511	-0.268762723	-13.37662428	0.373851302	-0.252410754	484.8851389	0.202962963	0.657707911	9.467153285	0.42835629	0	58.68481175	0	0	0	-0.006772165	-0.008998934	-0.927786584	-0.004899189	0	-0.671188943	-0.589178342	-0.78290729	-80.71743279	0.023279867	0.02459474	3.189341797	-0.05867144	-0.057915999	-8.037987237	2.421106182	2.557852993	331.6915469	1.630400148	1.221521275	2114.628992	0.085825621	0	111.3158299	0.274984567	0	356.6549828	0.202962963	0.657707911	9.467153285
20	BCL.thisStudy.sce.rds	2	0.274270191	-0.638193484	33.18669317	-0.207185981	-0.252410754	-25.0695037	-0.010652129	-0.012035936	-1.28890758	-0.007760484	-0.010840279	-0.93901856	-0.926735202	-1.047126402	-112.1349595	0.026520079	0.027019432	3.208929583	-0.073313505	-0.073129768	-8.870934049	2.758088237	2.810020889	333.7286766	0.51851409	-0.470447268	523.6992312	-0.059217011	-0.268762723	-59.80918134	0.354138686	-0.252410754	357.6800733	0.236790607	0.664036818	8.347107438	0.555801677	0	67.25200291	0.019810068	0	2.397018234	-0.010652129	-0.012035936	-1.28890758	-0.007760484	-0.010840279	-0.93901856	-0.926735202	-1.047126402	-112.1349595	0.026520079	0.027019432	3.208929583	-0.073313505	-0.073129768	-8.870934049	2.758088237	2.810020889	333.7286766	1.166494823	0	1178.159771	0.069585783	0	70.28164081	0.265690346	0	268.347249	0.236790607	0.664036818	8.347107438
21	BRCA.ElhamAzizi2018_10X.sce.rds	3	-0.039772603	-0.661082946	-31.81808217	-0.344839545	-0.377492201	-275.8716363	-0.0164618	-0.02084403	-13.16944011	-0.087708133	-0.085781616	-70.16650653	-0.938322608	-1.188109716	-750.6580861	-0.027513376	-0.025018282	-22.01070087	-0.097144786	-0.096036243	-77.71582913	-2.503717224	-2.276663677	-2002.973779	-0.01888498	-0.374064402	-91.34664836	-0.104962888	-0.359349096	-507.7054914	-0.030483912	-0.377492201	-147.4506826	0.14360079	0.464738663	6.04625	0.3616479	0	289.3183199	0.0207293	0	16.58344025	-0.0164618	-0.02084403	-13.16944011	-0.087708133	-0.085781616	-70.16650653	-0.938322608	-1.188109716	-750.6580861	-0.027513376	-0.025018282	-22.01070087	-0.097144786	-0.096036243	-77.71582913	-2.503717224	-2.276663677	-2002.973779	0.291964294	0	1412.231288	0.146709222	0	709.6325056	0.220295684	0	1065.570222	0.14360079	0.464738663	6.04625
22	BRCA.ElhamAzizi2018_10X.sce.rds	3	-0.160202087	-0.661082946	-59.91558047	-0.244867491	-0.377492201	-91.58044175	0.009062172	-0.001229582	3.38925243	-0.081180557	-0.079932192	-30.36152824	0.51654382	-0.070086174	193.1873885	-0.015486161	-0.015625727	-5.791824114	-0.100605612	-0.101522255	-37.62649903	-1.409240627	-1.421941168	-527.0559944	0.201964371	-0.374064402	335.4628207	-0.055975038	-0.359349096	-92.97453894	0.063113629	-0.377492201	104.8317385	0.204483324	0.475931232	4.441176471	0.291549163	0	109.0393871	0.08419583	0	31.48924057	0.009062172	-0.001229582	3.38925243	-0.081180557	-0.079932192	-30.36152824	0.51654382	-0.070086174	193.1873885	-0.015486161	-0.015625727	-5.791824114	-0.100605612	-0.101522255	-37.62649903	-1.409240627	-1.421941168	-527.0559944	0.473506694	0	786.4946189	0.174961419	0	290.610917	0.279715401	0	464.6072808	0.204483324	0.475931232	4.441176471
23	BRCA.ElhamAzizi2018_10X.sce.rds	3	0.015654317	-0.661082946	18.65994592	-0.311674762	-0.377492201	-371.5163158	0.074865673	0.071514217	89.23988255	-0.064527208	-0.060838221	-76.91643192	4.267343377	4.07631038	5086.673305	0.0302115	0.030883765	36.01210822	-0.095960757	-0.094674166	-114.3852223	2.749246516	2.810422653	3277.101848	0.86304818	-0.374064402	3424.575179	0.20144614	-0.359349096	799.3382844	0.420550698	-0.377492201	1668.745171	0.294830571	0.495318936	3.32885906	0.393910407	0	469.5412046	0.041783722	0	49.8061962	0.074865673	0.071514217	89.23988255	-0.064527208	-0.060838221	-76.91643192	4.267343377	4.07631038	5086.673305	0.0302115	0.030883765	36.01210822	-0.095960757	-0.094674166	-114.3852223	2.749246516	2.810422653	3277.101848	1.016930258	0	4035.179264	0.323420964	0	1283.334387	0.50663172	0	2010.314663	0.294830571	0.495318936	3.32885906
24	BRCA.ElhamAzizi2018_Indrop.sce.rds	7	0.39589292	-0.25176922	20.19053891	-0.102549861	-0.219501112	-5.230042926	0.093891938	0.097330816	4.788488836	-0.032668337	-0.031321749	-1.666085176	7.605246974	7.88379609	387.8675957	0.032413614	0.0245734	1.653094312	-0.092219394	-0.092936427	-4.703189111	3.241361396	2.457339994	165.3094312	0.912042665	-0.230578928	50.16234657	0.067793299	-0.184622403	3.728631454	0.431045968	-0.219501112	23.70752825	0.309090909	0.25	1.078431373	0.352724134	0	17.98893083	0.070058849	0	3.573001304	0.093891938	0.097330816	4.788488836	-0.032668337	-0.031321749	-1.666085176	7.605246974	7.88379609	387.8675957	0.032413614	0.0245734	1.653094312	-0.092219394	-0.092936427	-4.703189111	3.241361396	2.457339994	165.3094312	0.649824664	0	35.74035653	0.118376532	0	6.510709236	0.38970579	0	21.43381846	0.309090909	0.25	1.078431373
25	BRCA.ElhamAzizi2018_Indrop.sce.rds	7	0.276167178	-0.25176922	3.590173316	-0.219501112	-0.219501112	-2.853514462	0.048993705	0.045759582	0.636918159	-0.026207076	-0.025900514	-0.340691987	3.968490067	3.706526163	51.59037087	0.053929011	0.062130225	0.701077141	-0.060883668	-0.060795521	-0.791487678	5.392901082	6.213022466	70.10771406	0.050641317	-0.230578928	2.481424513	0.016892096	-0.184622403	0.827712694	0.055654167	-0.219501112	2.727054197	0.114035088	0.300613497	3.769230769	0.287520139	0	3.737761813	0	0	0	0.048993705	0.045759582	0.636918159	-0.026207076	-0.025900514	-0.340691987	3.968490067	3.706526163	51.59037087	0.053929011	0.062130225	0.701077141	-0.060883668	-0.060795521	-0.791487678	5.392901082	6.213022466	70.10771406	0.159933833	0	7.836757809	0.094505164	0	4.630753057	0.164829893	0	8.076664759	0.114035088	0.300613497	3.769230769
26	BRCA.ElhamAzizi2018_Indrop.sce.rds	7	0.00668161	-0.25176922	0.207129911	-0.061402066	-0.219501112	-1.903464045	0.060210782	0.042025538	1.866534231	-0.027995364	-0.026788631	-0.867856286	4.877073314	3.404068563	151.1892727	0.02626805	0.037876172	0.814309543	-0.080014261	-0.078458601	-2.480442088	2.626804977	3.787617205	81.43095428	0.64092703	-0.230578928	196.7645981	0.172376006	-0.184622403	52.91943372	0.8137974	-0.219501112	249.8358018	0.2	0.664502165	9.903225806	0.140755248	0	4.363412691	0.094708155	0	2.93595281	0.060210782	0.042025538	1.866534231	-0.027995364	-0.026788631	-0.867856286	4.877073314	3.404068563	151.1892727	0.02626805	0.037876172	0.814309543	-0.080014261	-0.078458601	-2.480442088	2.626804977	3.787617205	81.43095428	0.495637462	0	152.1607008	0.167423156	0	51.39890876	0.618990424	0	190.0300602	0.2	0.664502165	9.903225806
27	BRCA.ElhamAzizi2018_Indrop.sce.rds	7	0.075503681	-0.25176922	3.548673001	-0.127508619	-0.219501112	-5.992905082	0.039612855	0.02762041	1.861804176	-0.024934778	-0.023623043	-1.171934557	3.20864124	2.237253187	150.8061383	0.001845535	0.003223018	0.086740138	-0.069346943	-0.068542907	-3.259306308	0.184553484	0.322301816	8.674013769	0.012816095	-0.230578928	2.447874224	-0.005047361	-0.184622403	-0.964045942	0.311956032	-0.219501112	59.5836021	0.315436242	0.561764706	4.063829787	0.178236527	0	8.377116771	0.055107476	0	2.590051359	0.039612855	0.02762041	1.861804176	-0.024934778	-0.023623043	-1.171934557	3.20864124	2.237253187	150.8061383	0.001845535	0.003223018	0.086740138	-0.069346943	-0.068542907	-3.259306308	0.184553484	0.322301816	8.674013769	0.138422108	0	26.43862257	0.084216118	0	16.0852786	0.318365776	0	60.80786329	0.315436242	0.561764706	4.063829787
