	a.i.	length.patient.	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio
111	LC.XinyiGuo2018.sce.rds	14	0.030880727	-0.710732443	1.389632716	-0.194356116	-0.426737404	-8.746025218	0.381486141	0.378995119	17.16687633	-0.450628571	-0.443090493	-20.27828568	22.5076823	22.36071205	1012.845704	0.34670697	0.323266686	15.60181367	-0.582277596	-0.591573426	-26.20249183	31.89704127	29.74053512	1435.366857	0.40939974	0.742243491	65.91335819	-0.107177782	-0.48841639	-17.25562283	0.111880767	-0.426737404	18.01280341	0.211267606	0.430481283	3.577777778
112	LC.XinyiGuo2018.sce.rds	14	-0.926704187	-0.926704187	-5.56022512	-0.426737404	-0.426737404	-2.560424426	0.219955827	0.230230117	1.319734962	-0.397357723	-0.395866325	-2.384146336	12.9773938	13.58357691	77.86436278	0.326616554	0.337131437	1.959699325	-0.48394436	-0.497530352	-2.903666157	30.04872298	31.01609223	180.2923379	0.71999122	1.035520339	4.319947321	0.221131908	-0.48841639	1.326791448	-0.426737404	-0.426737404	-2.560424426	0.12	0.107142857	1
113	LIHC.LichunMa2019.sce.rds	13	0.3215353	-0.468584443	1.929211801	-0.54760821	-0.54760821	-3.285649257	-0.006266406	-0.021926949	-0.037598435	-0.024966318	-0.027230556	-0.149797911	-0.507578872	-1.776082905	-3.045473234	0.004223308	0.007660801	0.025339849	-0.06562888	-0.071222901	-0.393773278	0.426554121	0.773740914	2.559324726	0.175464578	-0.415969064	2.982897819	0.246779992	-0.407560341	4.195259858	0.580617928	-0.54760821	9.870504769	0.092307692	0.207317073	2.833333333
114	LIHC.LichunMa2019.sce.rds	13	0.440737727	-0.468584443	1.322213182	-0.54760821	-0.54760821	-1.642824629	0.098957923	0.129168462	0.29687377	-0.028795202	-0.018391209	-0.086385607	8.015591795	10.46264541	24.04677538	0.039075435	0.008596838	0.117226304	-0.081613997	-0.091956044	-0.244841992	3.946618915	0.868280647	11.83985675	0.407367696	-0.415969064	5.70314775	0.281616254	-0.407560341	3.942627557	-0.211490902	-0.54760821	-2.960872625	0.2	0.482758621	4.666666667
115	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.468584443	-0.54760821	-0.54760821	-0.54760821	0.093655223	0.093655223	0.093655223	-0.024366503	-0.024366503	-0.024366503	7.586073072	7.586073072	7.586073072	-0.069300309	-0.069300309	-0.069300309	-0.120312058	-0.120312058	-0.120312058	-6.999331256	-6.999331256	-6.999331256	0.453296997	-0.415969064	1.359890991	-0.407560341	-0.407560341	-1.222681023	0.712731237	0.962370399	2.13819371	0.333333333	0.5	3
116	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.468584443	-0.54760821	-0.54760821	-0.54760821	-0.017660771	-0.017660771	-0.017660771	-0.040638039	-0.040638039	-0.040638039	-1.430522474	-1.430522474	-1.430522474	-0.01484175	-0.01484175	-0.01484175	-0.113918156	-0.113918156	-0.113918156	-1.499016769	-1.499016769	-1.499016769	1.034521544	1.034521544	2.069043088	-0.407560341	-0.407560341	-0.815120682	-0.54760821	-0.54760821	-1.095216419	0.5	0.5	2
117	LIHC.LichunMa2019.sce.rds	13	0.065381503	-0.468584443	0.45767052	-0.54760821	-0.54760821	-3.833257467	-0.026094866	-0.031929781	-0.182664061	-0.034459451	-0.033491451	-0.241216156	-2.113684136	-2.586312258	-14.79578896	-0.041517098	-0.045478471	-0.290619689	-0.065171784	-0.060002924	-0.45620249	-4.193226943	-4.593325528	-29.3525886	-0.365762435	-0.415969064	-49.74369112	0.239862661	-0.407560341	32.62132195	0.241535773	-0.54760821	32.84886506	0.083333333	0.618181818	19.42857143
118	LIHC.LichunMa2019.sce.rds	13	-0.09416225	-0.468584443	-1.412433748	-0.54760821	-0.54760821	-8.214123144	0.017018257	0.029168256	0.255273862	-0.029075615	-0.029855679	-0.436134219	1.378478855	2.362628745	20.67718282	-0.004653594	0.001172872	-0.069803916	-0.072238126	-0.071971964	-1.083571884	-0.470013033	0.118460087	-7.050195491	-0.036014377	-0.415969064	-1.152460059	-0.003311551	-0.407560341	-0.105969621	-0.059611846	-0.54760821	-1.907579071	0.294117647	0.385542169	2.133333333
119	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.937168886	-0.026408077	-0.026408077	-0.052816154	-0.066269461	-0.066269461	-0.132538923	-0.040950029	-0.040950029	-0.081900058	-5.367826363	-5.367826363	-10.73565273	-0.078315954	-0.078315954	-0.156631908	-0.100583572	-0.100583572	-0.201167144	-7.909911339	-7.909911339	-15.81982268	-0.415969064	-0.415969064	-5.823566895	-0.166212637	-0.407560341	-2.32697692	0.111130044	-0.54760821	1.555820611	0.222222222	0.608695652	7
120	LIHC.LichunMa2019.sce.rds	13	-0.011473285	-0.468584443	-0.172099279	-0.391283365	-0.54760821	-5.869250477	0.029802089	0.035075027	0.447031329	-0.021779087	-0.019431723	-0.326686306	2.413969175	2.841077224	36.20953762	0.002218494	0.022360704	0.033277408	-0.063213253	-0.06305002	-0.948198788	0.224067883	2.25843108	3.361018246	0.648151043	-0.415969064	71.94476578	-0.241412582	-0.407560341	-26.79679662	-0.10838119	-0.54760821	-12.03031209	0.132743363	0.495535714	7.4
121	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.468584443	-0.54760821	-0.54760821	-0.54760821	0.07530685	0.07530685	0.07530685	-0.019529718	-0.019529718	-0.019529718	6.099854884	6.099854884	6.099854884	0.11606082	0.11606082	0.11606082	-0.058589155	-0.058589155	-0.058589155	11.72214277	11.72214277	11.72214277	-0.415969064	-0.415969064	-2.07984532	0.361550811	-0.407560341	1.807754056	1.088004185	1.782981611	5.440020924	0.2	0.5	5
122	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.937168886	-0.54760821	-0.54760821	-1.095216419	0.045274092	0.045274092	0.090548184	-0.012030588	-0.012030588	-0.024061175	3.667201464	3.667201464	7.334402928	-0.028485953	-0.028485953	-0.056971905	-0.045563964	-0.045563964	-0.091127929	-2.877081203	-2.877081203	-5.754162405	0.320386293	-0.415969064	2.242704048	0.05508082	-0.407560341	0.38556574	-0.246787186	-0.54760821	-1.7275103	0.125	0.304347826	3.5
