"d"	"f"	"o"	"n"
"339"	3	49	0.155969866726234	0.646989097896852
"340"	3	50	0.263636363636364	0.434522554208937
"341"	3	51	0.154545454545455	0.653538937959263
"342"	3	52	0.2	0.557553078061045
"343"	3	53	0.172727272727273	0.614426013724972
"344"	3	54	-0.754545454545455	0.0104817749990729
"345"	3	55	-0.790909090909091	0.00606083055140366
"346"	3	56	-0.654545454545455	0.0338251607875948
"347"	3	57	-0.2	0.557553078061045
"348"	3	58	-0.190909090909091	0.576257826919622
"349"	3	59	0.3	0.371067789395025
"350"	3	60	-0.754545454545455	0.0104817749990729
"351"	3	61	-0.790909090909091	0.00606083055140366
"352"	3	62	-0.654545454545455	0.0338251607875948
"353"	3	63	-0.1	0.775664871585324
"354"	3	64	-0.0858116330321033	0.801919446588116
"355"	3	65	-0.281818181818182	0.402135894917861
"356"	3	66	0.236363636363636	0.485475943733222
"357"	3	67	NA	NA
"358"	3	68	-0.0454545454545455	0.902917866811604
"359"	3	69	0.127272727272727	0.713791318994479
"360"	3	70	0.3	0.370083122282068
"361"	3	71	-0.127272727272727	0.713791318994479
"362"	4	6	0.302765035409749	0.365470183682198
"363"	4	7	NA	NA
"364"	4	8	0.2	0.555445442105586
"365"	4	9	0	1
"366"	4	10	0.1	0.769874999892137
"367"	4	11	0.2	0.555445442105586
"368"	4	12	0.2	0.555445442105586
"369"	4	13	-0.100921678469916	0.767803987378345
"370"	4	14	0.2	0.555445442105586
"371"	4	15	0	1
"372"	4	16	0.1	0.769874999892137
"373"	4	17	0.2	0.555445442105586
"374"	4	18	-0.4	0.222868350133521
"375"	4	19	-0.2	0.555445442105586
"376"	4	20	-0.3	0.370083122282068
"377"	4	21	-0.4	0.222868350133521
"378"	4	22	-0.3	0.370083122282068
"379"	4	23	0.1	0.769874999892137
"380"	4	24	-0.4	0.222868350133521
"381"	4	25	-0.2	0.555445442105586
"382"	4	26	-0.3	0.370083122282068
"383"	4	27	-0.3	0.370083122282068
"384"	4	28	-0.314642654451045	0.345993661494477
"385"	4	29	-0.4	0.222868350133521
"386"	4	30	0.4	0.22286835013352
"387"	4	31	NA	NA
"388"	4	32	0.4	0.22286835013352
"389"	4	33	0	1
"390"	4	34	-0.1	0.769874999892136
"391"	4	35	0.1	0.769874999892137
"392"	4	36	0.2	0.555445442105586
"393"	4	37	-0.2	0.555445442105586
"394"	4	38	-0.1	0.769874999892136
"395"	4	42	0.302765035409749	0.365470183682198
"396"	4	43	NA	NA
"397"	4	44	-0.201843356939833	0.551730130459995
"398"	4	45	0	1
"399"	4	46	0.1	0.769874999892137
"400"	4	47	0.2	0.555445442105586
"401"	4	48	0.2	0.555445442105586
