"i"	"d"	"f"	"o"	"n"
"367"	3	4	32	NA	NA
"368"	3	4	33	NA	NA
"369"	3	4	34	NA	NA
"370"	3	4	35	NA	NA
"371"	3	4	36	NA	NA
"372"	3	4	37	NA	NA
"373"	3	4	38	NA	NA
"374"	3	5	6	1	1
"375"	3	5	7	NA	NA
"376"	3	5	8	1	1
"377"	3	5	9	-1	1
"378"	3	5	10	-1	1
"379"	3	5	11	-1	1
"380"	3	5	12	-1	1
"381"	3	5	13	-1	1
"382"	3	5	14	-1	1
"383"	3	5	15	-1	1
"384"	3	5	16	-1	1
"385"	3	5	17	-1	1
"386"	3	5	18	1	1
"387"	3	5	19	1	1
"388"	3	5	20	1	1
"389"	3	5	21	-1	1
"390"	3	5	22	-1	1
"391"	3	5	23	-1	1
"392"	3	5	24	1	1
"393"	3	5	25	1	1
"394"	3	5	26	1	1
"395"	3	5	27	-1	1
"396"	3	5	28	-1	1
"397"	3	5	29	-1	1
"398"	3	5	30	-1	1
"399"	3	5	31	NA	NA
"400"	3	5	32	-1	1
"401"	3	5	33	-1	1
"402"	3	5	34	NA	NA
"403"	3	5	35	-1	1
"404"	3	5	36	1	1
"405"	3	5	37	1	1
"406"	3	5	38	-1	1
"407"	3	6	9	-1	1
"408"	3	6	10	-1	1
"409"	3	6	11	-1	1
"410"	3	6	12	-1	1
"411"	3	6	13	-1	1
"412"	3	6	14	-1	1
"413"	3	6	15	-1	1
"414"	3	6	16	-1	1
"415"	3	6	17	-1	1
"416"	3	6	18	1	1
"417"	3	6	19	1	1
"418"	3	6	20	1	1
"419"	3	6	21	-1	1
"420"	3	6	22	-1	1
"421"	3	6	23	-1	1
"422"	3	6	24	1	1
"423"	3	6	25	1	1
"424"	3	6	26	1	1
"425"	3	7	9	NA	NA
"426"	3	7	10	NA	NA
"427"	3	7	11	NA	NA
"428"	3	7	12	NA	NA
"429"	3	7	13	NA	NA
"430"	3	7	14	NA	NA
"431"	3	7	15	NA	NA
"432"	3	7	16	NA	NA
"433"	3	7	17	NA	NA
"434"	3	7	18	NA	NA
"435"	3	7	19	NA	NA
"436"	3	7	20	NA	NA
"437"	3	7	21	NA	NA
"438"	3	7	22	NA	NA
"439"	3	7	23	NA	NA
"440"	3	7	24	NA	NA
"441"	3	7	25	NA	NA
"442"	3	7	26	NA	NA
"443"	3	8	9	-1	1
"444"	3	8	10	-1	1
"445"	3	8	11	-1	1
"446"	3	8	12	-1	1
"447"	3	8	13	-1	1
"448"	3	8	14	-1	1
"449"	3	8	15	-1	1
"450"	3	8	16	-1	1
"451"	3	8	17	-1	1
"452"	3	8	18	1	1
"453"	3	8	19	1	1
"454"	3	8	20	1	1
"455"	3	8	21	-1	1
"456"	3	8	22	-1	1
"457"	3	8	23	-1	1
"458"	3	8	24	1	1
"459"	3	8	25	1	1
"460"	3	8	26	1	1
"461"	4	3	6	-0.5	1
"462"	4	3	7	NA	NA
"463"	4	3	8	0.5	1
"464"	4	3	9	0.5	1
"465"	4	3	10	0.5	1
"466"	4	3	11	0.5	1
"467"	4	3	12	0.5	1
"468"	4	3	13	0.5	1
"469"	4	3	14	-1	0.333333333333333
"470"	4	3	15	0.5	1
"471"	4	3	16	0.5	1
"472"	4	3	17	0.5	1
"473"	4	3	18	0.5	1
"474"	4	3	19	0.5	1
"475"	4	3	20	0.5	1
"476"	4	3	21	1	0.333333333333333
"477"	4	3	22	1	0.333333333333333
"478"	4	3	23	-1	0.333333333333333
"479"	4	3	24	0.5	1
"480"	4	3	25	0.5	1
"481"	4	3	26	0.5	1
"482"	4	3	27	0.5	1
"483"	4	3	28	NA	NA
"484"	4	3	29	1	0.333333333333333
"485"	4	3	30	0.5	1
"486"	4	3	31	NA	NA
"487"	4	3	32	1	0.333333333333333
"488"	4	3	33	0.5	1
"489"	4	3	34	NA	NA
"490"	4	3	35	1	0.333333333333333
"491"	4	3	36	0.5	1
"492"	4	3	37	0.5	1
"493"	4	3	38	-0.5	1
"494"	4	4	6	NA	NA
"495"	4	4	7	NA	NA
"496"	4	4	8	NA	NA
"497"	4	4	9	NA	NA
"498"	4	4	10	NA	NA
"499"	4	4	11	NA	NA
"500"	4	4	12	NA	NA
"501"	4	4	13	NA	NA
"502"	4	4	14	NA	NA
"503"	4	4	15	NA	NA
"504"	4	4	16	NA	NA
"505"	4	4	17	NA	NA
"506"	4	4	18	NA	NA
"507"	4	4	19	NA	NA
"508"	4	4	20	NA	NA
"509"	4	4	21	NA	NA
"510"	4	4	22	NA	NA
"511"	4	4	23	NA	NA
"512"	4	4	24	NA	NA
"513"	4	4	25	NA	NA
"514"	4	4	26	NA	NA
"515"	4	4	27	NA	NA
"516"	4	4	28	NA	NA
"517"	4	4	29	NA	NA
"518"	4	4	30	NA	NA
"519"	4	4	31	NA	NA
"520"	4	4	32	NA	NA
"521"	4	4	33	NA	NA
"522"	4	4	34	NA	NA
"523"	4	4	35	NA	NA
"524"	4	4	36	NA	NA
"525"	4	4	37	NA	NA
"526"	4	4	38	NA	NA
"527"	4	5	6	-0.5	1
"528"	4	5	7	NA	NA
"529"	4	5	8	0.5	1
"530"	4	5	9	0.5	1
"531"	4	5	10	0.5	1
"532"	4	5	11	0.5	1
"533"	4	5	12	0.5	1
"534"	4	5	13	0.5	1
"535"	4	5	14	-1	0.333333333333333
"536"	4	5	15	0.5	1
"537"	4	5	16	0.5	1
"538"	4	5	17	0.5	1
"539"	4	5	18	0.5	1
"540"	4	5	19	0.5	1
"541"	4	5	20	0.5	1
"542"	4	5	21	1	0.333333333333333
"543"	4	5	22	1	0.333333333333333
"544"	4	5	23	-1	0.333333333333333
"545"	4	5	24	0.5	1
"546"	4	5	25	0.5	1
"547"	4	5	26	0.5	1
"548"	4	5	27	0.5	1
"549"	4	5	28	NA	NA
"550"	4	5	29	1	0.333333333333333
"551"	4	5	30	0.5	1
"552"	4	5	31	NA	NA
"553"	4	5	32	1	0.333333333333333
"554"	4	5	33	0.5	1
"555"	4	5	34	NA	NA
"556"	4	5	35	1	0.333333333333333
"557"	4	5	36	0.5	1
"558"	4	5	37	0.5	1
"559"	4	5	38	-0.5	1
"560"	4	6	9	0.5	1
"561"	4	6	10	0.5	1
"562"	4	6	11	0.5	1
"563"	4	6	12	0.5	1
"564"	4	6	13	0.5	1
"565"	4	6	14	0.5	1
"566"	4	6	15	0.5	1
"567"	4	6	16	0.5	1
"568"	4	6	17	0.5	1
"569"	4	6	18	0.5	1
"570"	4	6	19	0.5	1
"571"	4	6	20	0.5	1
"572"	4	6	21	-0.5	1
"573"	4	6	22	-0.5	1
"574"	4	6	23	0.5	1
"575"	4	6	24	0.5	1
"576"	4	6	25	0.5	1
"577"	4	6	26	0.5	1
"578"	4	7	9	NA	NA
"579"	4	7	10	NA	NA
"580"	4	7	11	NA	NA
"581"	4	7	12	NA	NA
"582"	4	7	13	NA	NA
"583"	4	7	14	NA	NA
"584"	4	7	15	NA	NA
"585"	4	7	16	NA	NA
"586"	4	7	17	NA	NA
"587"	4	7	18	NA	NA
"588"	4	7	19	NA	NA
"589"	4	7	20	NA	NA
"590"	4	7	21	NA	NA
"591"	4	7	22	NA	NA
"592"	4	7	23	NA	NA
"593"	4	7	24	NA	NA
"594"	4	7	25	NA	NA
"595"	4	7	26	NA	NA
"596"	4	8	9	1	0.333333333333333
"597"	4	8	10	1	0.333333333333333
"598"	4	8	11	1	0.333333333333333
"599"	4	8	12	1	0.333333333333333
"600"	4	8	13	1	0.333333333333333
"601"	4	8	14	-0.5	1
"602"	4	8	15	1	0.333333333333333
"603"	4	8	16	1	0.333333333333333
"604"	4	8	17	1	0.333333333333333
"605"	4	8	18	1	0.333333333333333
"606"	4	8	19	1	0.333333333333333
"607"	4	8	20	1	0.333333333333333
"608"	4	8	21	0.5	1
"609"	4	8	22	0.5	1
"610"	4	8	23	-0.5	1
"611"	4	8	24	1	0.333333333333333
"612"	4	8	25	1	0.333333333333333
"613"	4	8	26	1	0.333333333333333
"614"	5	3	6	0.23643312187173	0.609742692410707
"615"	5	3	7	NA	NA
"616"	5	3	8	0.39405520311955	0.381736493447254
"617"	5	3	9	0.571428571428571	0.2
"618"	5	3	10	0.678571428571428	0.10952380952381
"619"	5	3	11	0.285714285714286	0.555952380952381
"620"	5	3	12	0.0714285714285714	0.906349206349206
"621"	5	3	13	-0.0714285714285714	0.906349206349206
"622"	5	3	14	-0.428571428571428	0.353571428571429
"623"	5	3	15	0.571428571428571	0.2
"624"	5	3	16	0.678571428571428	0.10952380952381
"625"	5	3	17	0.285714285714286	0.555952380952381
"626"	5	3	18	-0.321428571428571	0.497619047619048
"627"	5	3	19	-0.464285714285714	0.302380952380952
"628"	5	3	20	0.142857142857143	0.782539682539683
"629"	5	3	21	-0.357142857142857	0.444444444444444
"630"	5	3	22	-0.357142857142857	0.444444444444444
"631"	5	3	23	-0.428571428571428	0.353571428571429
"632"	5	3	24	-0.321428571428571	0.497619047619048
"633"	5	3	25	-0.464285714285714	0.302380952380952
"634"	5	3	26	0.142857142857143	0.782539682539683
"635"	5	3	27	0.392857142857143	0.395634920634921
"636"	5	3	28	NA	NA
"637"	5	3	29	-0.0714285714285714	0.906349206349206
"638"	5	3	30	0.0714285714285714	0.906349206349206
"639"	5	3	31	NA	NA
"640"	5	3	32	-0.178571428571429	0.713095238095238
"641"	5	3	33	0.0357142857142857	0.963492063492064
"642"	5	3	34	NA	NA
"643"	5	3	35	-0.214285714285714	0.661507936507936
"644"	5	3	36	0.357142857142857	0.444444444444444
"645"	5	3	37	-0.571428571428571	0.2
"646"	5	3	38	-0.75	0.0662698412698413
"647"	5	4	6	NA	NA
"648"	5	4	7	NA	NA
"649"	5	4	8	NA	NA
"650"	5	4	9	NA	NA
"651"	5	4	10	NA	NA
"652"	5	4	11	NA	NA
"653"	5	4	12	NA	NA
"654"	5	4	13	NA	NA
"655"	5	4	14	NA	NA
"656"	5	4	15	NA	NA
"657"	5	4	16	NA	NA
"658"	5	4	17	NA	NA
"659"	5	4	18	NA	NA
"660"	5	4	19	NA	NA
"661"	5	4	20	NA	NA
"662"	5	4	21	NA	NA
"663"	5	4	22	NA	NA
"664"	5	4	23	NA	NA
"665"	5	4	24	NA	NA
"666"	5	4	25	NA	NA
"667"	5	4	26	NA	NA
"668"	5	4	27	NA	NA
"669"	5	4	28	NA	NA
"670"	5	4	29	NA	NA
"671"	5	4	30	NA	NA
"672"	5	4	31	NA	NA
"673"	5	4	32	NA	NA
"674"	5	4	33	NA	NA
"675"	5	4	34	NA	NA
"676"	5	4	35	NA	NA
"677"	5	4	36	NA	NA
"678"	5	4	37	NA	NA
"679"	5	4	38	NA	NA
"680"	5	5	6	0.610785564835303	0.145145011379531
"681"	5	5	7	NA	NA
"682"	5	5	8	0.729002125771168	0.0630551944522173
"683"	5	5	9	0.678571428571428	0.10952380952381
"684"	5	5	10	0.642857142857143	0.138888888888889
"685"	5	5	11	0.857142857142857	0.0238095238095238
"686"	5	5	12	0	1
"687"	5	5	13	0.142857142857143	0.782539682539683
"688"	5	5	14	-1	0.000396825396825397
"689"	5	5	15	0.678571428571428	0.10952380952381
"690"	5	5	16	0.642857142857143	0.138888888888889
"691"	5	5	17	0.857142857142857	0.0238095238095238
"692"	5	5	18	-0.285714285714286	0.555952380952381
"693"	5	5	19	-0.392857142857143	0.395634920634921
"694"	5	5	20	0.571428571428571	0.2
"695"	5	5	21	-0.857142857142857	0.0238095238095238
"696"	5	5	22	-0.857142857142857	0.0238095238095238
"697"	5	5	23	-1	0.000396825396825397
"698"	5	5	24	-0.285714285714286	0.555952380952381
"699"	5	5	25	-0.392857142857143	0.395634920634921
"700"	5	5	26	0.571428571428571	0.2
"701"	5	5	27	0.607142857142857	0.166666666666667
"702"	5	5	28	NA	NA
"703"	5	5	29	0.357142857142857	0.444444444444444
"704"	5	5	30	0.607142857142857	0.166666666666667
"705"	5	5	31	NA	NA
"706"	5	5	32	0.321428571428571	0.497619047619048
"707"	5	5	33	0.678571428571428	0.10952380952381
"708"	5	5	34	NA	NA
"709"	5	5	35	0.464285714285714	0.302380952380952
"710"	5	5	36	0.928571428571428	0.00674603174603175
"711"	5	5	37	-0.142857142857143	0.782539682539683
"712"	5	5	38	-0.785714285714285	0.048015873015873
"713"	5	6	9	0.669893845303235	0.0996840342442997
"714"	5	6	10	0.492569003899438	0.26142452694663
"715"	5	6	11	0.866921446863011	0.0115355494613988
"716"	5	6	12	0.0591082804679325	0.899829867314434
"717"	5	6	13	-0.118216560935865	0.800708730046712
"718"	5	6	14	-0.610785564835303	0.145145011379531
"719"	5	6	15	0.669893845303235	0.0996840342442997
"720"	5	6	16	0.492569003899438	0.26142452694663
